Season,Episode,Name of Episode,Viewers (millions),Date
1,1,Pilot,6.17,"September 17, 2013"
1,2,The Tagger,4.03,"September 24, 2013"
1,3,The Slump,3.43,"October 1, 2013"
1,4,M.E. Time,3.34,"October 8, 2013"
1,5,The Vulture,3.43,"October 15, 2013"
1,6,Halloween,3.77,"October 22, 2013"
1,7,48 Hours,3.84,"November 5, 2013"
1,8,Old School,3.26,"November 12, 2013"
1,9,Sal's Pizza,3.36,"November 19, 2013"
1,10,Thanksgiving,3.69,"November 26, 2013"
1,11,Christmas,3.66,"December 3, 2013"
1,12,Pontiac Bandit,3.44,"January 7, 2014"
1,13,The Bet,3.53,"January 14, 2014"
1,14,The Ebony Falcon,4.55,"January 21, 2014"
1,15,Operation: Broken Feather,15.07,"February 2, 2014"
1,16,The Party,3.22,"February 4, 2014"
1,17,Full Boyle,2.88,"February 11, 2014"
1,18,The Apartment,2.66,"February 25, 2014"
1,19,Tactical Village,2.61,"March 4, 2014"
1,20,Fancy Brudgom,2.49,"March 11, 2014"
1,21,Unsolvable,2.5,"March 18, 2014"
1,22,Charges and Specs,2.59,"March 25, 2014"
2,1,Undercover,5.46,"September 28, 2014"
2,2,Chocolate Milk,3.31,"October 5, 2014"
2,3,The Jimmy Jab Games,4.51,"October 12, 2014"
2,4,Halloween II,5.22,"October 19, 2014"
2,5,The Mole,3.41,"November 2, 2014"
2,6,Jake and Sophia,3.99,"November 9, 2014"
2,7,Lockdown,4.53,"November 16, 2014"
2,8,USPIS,3.04,"November 23, 2014"
2,9,The Road Trip,3.11,"November 30, 2014"
2,10,The Pontiac Bandit Returns,4.32,"December 7, 2014"
2,11,Stakeout,3.52,"December 14, 2014"
2,12,Beach House,6.12,"January 4, 2015"
2,13,Payback,3.29,"January 11, 2015"
2,14,The Defense Rests,2.79,"January 25, 2015"
2,15,Windbreaker City,2.59,"February 8, 2015"
2,16,The Wednesday Incident,2.08,"February 15, 2015"
2,17,Boyle-Linetti Wedding,3.61,"March 1, 2015"
2,18,Captain Peralta,3.11,"March 8, 2015"
2,19,Sabotage,2.96,"March 15, 2015"
2,20,AC/DC,2.78,"April 26, 2015"
2,21,Det. Dave Majors,2.72,"May 3, 2015"
2,22,The Chopper,2.56,"May 10, 2015"
2,23,Johnny and Dora,2.35,"May 17, 2015"
3,1,New Captain,3.14,"September 27, 2015"
3,2,The Funeral,4.1,"October 4, 2015"
3,3,Boyle's Hunch,2.75,"October 11, 2015"
3,4,The Oolong Slayer,2.57,"October 18, 2015"
3,5,Halloween III,4.38,"October 25, 2015"
3,6,Into the Woods,2.65,"November 8, 2015"
3,7,The Mattress,2.69,"November 15, 2015"
3,8,Ava,3.88,"November 22, 2015"
3,9,The Swedes,3.95,"December 6, 2015"
3,10,Yippie Kayak,3.82,"December 13, 2015"
3,11,Hostage Situation,2.73,"January 5, 2016"
3,12,9 Days,2.37,"January 19, 2016"
3,13,The Cruise,2.38,"January 26, 2016"
3,14,Karen Peralta,2.24,"February 2, 2016"
3,15,The 9-8,2.28,"February 9, 2016"
3,16,House Mouses,2.18,"February 16, 2016"
3,17,Adrian Pimento,2.13,"February 23, 2016"
3,18,Cheddar,1.85,"March 1, 2016"
3,19,Terry Kitties,1.95,"March 15, 2016"
3,20,Paranoia,2.02,"March 29, 2016"
3,21,Maximum Security,2.71,"April 5, 2016"
3,22,Bureau,2.07,"April 12, 2016"
3,23,Greg and Larry,2.02,"April 19, 2016"
4,1,Coral Palms: Part 1,2.39,"September 20, 2016"
4,2,Coral Palms: Part 2,2.34,"September 27, 2016"
4,3,Coral Palms: Part 3,2.4,"October 4, 2016"
4,4,The Night Shift,2.13,"October 11, 2016"
4,5,Halloween IV,2.05,"October 18, 2016"
4,6,Monster in the Closet,2.18,"November 15, 2016"
4,7,Mr. Santiago,2.19,"November 22, 2016"
4,8,Skyfire Cycle,2.34,"November 29, 2016"
4,9,The Overmining,2.31,"December 6, 2016"
4,10,Captain Latvia,2.15,"December 13, 2016"
4,11,The Fugitive I,3.49,"January 1, 2017"
4,12,The Fugitive II,3.49,"January 1, 2017"
4,13,The Audit,1.91,"April 11, 2017"
4,14,Serve & Protect,1.91,"April 18, 2017"
4,15,The Last Ride,1.88,"April 25, 2017"
4,16,Moo Moo,1.72,"May 2, 2017"
4,17,Cop-Con,1.61,"May 9, 2017"
4,18,Chasing Amy,1.61,"May 9, 2017"
4,19,Your Honor,1.65,"May 16, 2017"
4,20,The Slaughterhouse,1.38,"May 16, 2017"
4,21,The Bank Job,1.78,"May 23, 2017"
4,22,Crime and Punishment,1.5,"May 23, 2017"
5,1,The Big House: Part 1,2,"September 26, 2017"
5,2,The Big House: Part 2,1.74,"October 3, 2017"
5,3,Kicks,1.68,"October 10, 2017"
5,4,HalloVeen,1.69,"October 17, 2017"
5,5,Bad Beat,1.5,"November 7, 2017"
5,6,The Venue,1.65,"November 14, 2017"
5,7,Two Turkeys,1.66,"November 21, 2017"
5,8,Return to Skyfire,1.73,"November 28, 2017"
5,9,99,1.94,"December 5, 2017"
5,10,Game Night,1.81,"December 12, 2017"
5,11,The Favor,1.81,"December 12, 2017"
5,12,Safe House,1.92,"March 18, 2018"
5,13,The Negotiation,1.83,"March 25, 2018"
5,14,The Box,1.78,"April 1, 2018"
5,15,The Puzzle Master,1.74,"April 8, 2018"
5,16,NutriBoom,1.79,"April 15, 2018"
5,17,DFW,1.48,"April 15, 2018"
5,18,Gray Star Mutual,1.77,"April 22, 2018"
5,19,Bachelor/ette Party,1.97,"April 29, 2018"
5,20,Show Me Going,1.67,"May 6, 2018"
5,21,White Whale,1.75,"May 13, 2018"
5,22,Jake & Amy,1.79,"May 20, 2018"
6,1,Honeymoon,3.54,"January 10, 2019"
6,2,Hitchcock & Scully,2.83,"January 17, 2019"
6,3,The Tattler,2.75,"January 24, 2019"
6,4,Four Movements,2.72,"January 31, 2019"
6,5,A Tale of Two Bandits,3.04,"February 7, 2019"
6,6,The Crime Scene,2.56,"February 14, 2019"
6,7,The Honeypot,2.35,"February 21, 2019"
6,8,"He Said, She Said",2.36,"February 28, 2019"
6,9,The Golden Child,1.99,"March 7, 2019"
6,10,Gintars,2.05,"March 14, 2019"
6,11,The Therapist,2.13,"March 21, 2019"
6,12,Casecation,1.88,"April 11, 2019"
6,13,The Bimbo,1.78,"April 18, 2019"
6,14,Ticking Clocks,1.69,"April 25, 2019"
6,15,Return of the King,1.65,"May 2, 2019"
6,16,Cinco de Mayo,1.83,"May 9, 2019"
6,17,Sicko,1.63,"May 16, 2019"
6,18,Suicide Squad,1.55,"May 16, 2019"
7,1,Manhunter,2.66,"February 6, 2020"
7,2,Captain Kim,1.99,"February 6, 2020"
7,3,Pimemento,1.79,"February 13, 2020"
7,4,The Jimmy Jab Games II,1.85,"February 20, 2020"
7,5,Debbie,1.74,"February 27, 2020"
7,6,Trying,1.82,"March 5, 2020"
7,7,Ding Dong,2.12,"March 12, 2020"
7,8,The Takeback,2.32,"March 19, 2020"
7,9,Dillman,2.14,"March 26, 2020"
7,10,Admiral Peralta,2.06,"April 2, 2020"
7,11,Valloweaster,2.04,"April 9, 2020"
7,12,Ransom,2.05,"April 16, 2020"
7,13,Lights Out,2.24,"April 23, 2020"
8,1,The Good Ones,1.84,"August 12, 2021"
8,2,The Lake House,1.34,"August 12, 2021"
8,3,Blue Flu,2.01,"August 19, 2021"
8,4,Balancing,1.48,"August 19, 2021"
8,5,PB & J,1.9,"August 26, 2021"
8,6,The Set Up,1.45,"August 26, 2021"
8,7,Game of Boyles,1.84,"September 2, 2021"
8,8,Renewal,1.31,"September 2, 2021"
8,9,The Last Day I,1.88,"September 16, 2021"
8,10,The Last Day II,1.88,"September 16, 2021"
